model,users,seq_len,compute,memory,comp_mem_ratio,ops
facebook/opt-1.3b,8,32,44,1012,0.043478260869565216,800869471744.0
facebook/opt-1.3b,16,32,150,906,0.16556291390728478,1601738943488.0
facebook/opt-1.3b,32,32,203,853,0.23798358733880423,3203477886976.0
facebook/opt-1.3b,8,64,268,1812,0.1479028697571744,2698522072576.0
facebook/opt-1.3b,16,64,374,1706,0.21922626025791325,5397044145152.0
facebook/opt-1.3b,32,64,427,1653,0.25831820931639443,10794088290304.0
facebook/opt-1.3b,8,128,716,3412,0.20984759671746775,9825972688384.0
facebook/opt-1.3b,16,128,822,3306,0.24863883847549909,19651945376768.0
facebook/opt-1.3b,32,128,875,3253,0.2689824777128804,39303890753536.0
microsoft/phi-2,8,32,55,1001,0.054945054945054944,1235203560960.0
microsoft/phi-2,16,32,157,899,0.1746384872080089,2470407121920.0
microsoft/phi-2,32,32,206,850,0.24235294117647058,4940814243840.0
microsoft/phi-2,8,64,279,1801,0.15491393670183232,4182907901440.0
microsoft/phi-2,16,64,381,1699,0.22424955856386108,8365815802880.0
microsoft/phi-2,32,64,430,1650,0.2606060606060606,16731631605760.0
microsoft/phi-2,8,128,727,3401,0.21376065862981475,15274133870080.0
microsoft/phi-2,16,128,829,3299,0.2512882691724765,30548267740160.0
microsoft/phi-2,32,128,878,3250,0.27015384615384613,61096535480320.0
EleutherAI/pythia-1.4b,8,32,44,1012,0.043478260869565216,800893283072.0
EleutherAI/pythia-1.4b,16,32,150,906,0.16556291390728478,1601786566144.0
EleutherAI/pythia-1.4b,32,32,203,853,0.23798358733880423,3203573132288.0
EleutherAI/pythia-1.4b,8,64,268,1812,0.1479028697571744,2698520169216.0
EleutherAI/pythia-1.4b,16,64,374,1706,0.21922626025791325,5397040338432.0
EleutherAI/pythia-1.4b,32,64,427,1653,0.25831820931639443,10794080676864.0
EleutherAI/pythia-1.4b,8,128,716,3412,0.20984759671746775,9825606093568.0
EleutherAI/pythia-1.4b,16,128,822,3306,0.24863883847549909,19651212187136.0
EleutherAI/pythia-1.4b,32,128,875,3253,0.2689824777128804,39302424374272.0
openai-community/gpt2-xl,8,32,33,1023,0.03225806451612903,498317047600.0
openai-community/gpt2-xl,16,32,146,910,0.16043956043956045,996634095200.0
openai-community/gpt2-xl,32,32,199,857,0.2322053675612602,1993268190400.0
openai-community/gpt2-xl,8,64,257,1823,0.14097641250685683,1666692484400.0
openai-community/gpt2-xl,16,64,370,1710,0.21637426900584794,3333384968800.0
openai-community/gpt2-xl,32,64,423,1657,0.25528062764031384,6666769937600.0
openai-community/gpt2-xl,8,128,705,3423,0.20595968448729185,6042967505200.0
openai-community/gpt2-xl,16,128,818,3310,0.24712990936555893,12085935010400.0
openai-community/gpt2-xl,32,128,871,3257,0.2674240098249923,24171870020800.0
